profile.id,chromosome,N.data,max.segments,sum.splits,max.depth
116,16,66,10,336,6
116,16,66,N.data,500,14
116,17,143,10,633,5
116,17,143,N.data,1123,16
116,18,67,10,348,8
116,18,67,N.data,485,14
116,19,44,10,227,6
116,19,44,N.data,281,10
116,2,215,10,1338,6
116,2,215,N.data,2593,26
116,20,60,10,335,8
116,20,60,N.data,449,12
116,21,38,10,201,6
116,21,38,N.data,264,14
116,22,61,10,257,5
116,22,61,N.data,359,12
116,3,168,10,637,7
116,3,168,N.data,1342,15
116,4,141,10,704,6
116,4,141,N.data,1257,15
116,5,176,10,778,5
116,5,176,N.data,1498,15
116,6,136,10,483,4
116,6,136,N.data,1192,20
116,7,107,10,599,6
116,7,107,N.data,1143,20
116,8,98,10,408,4
116,8,98,N.data,744,15
116,9,108,10,558,6
116,9,108,N.data,852,14
116,X,93,10,411,5
116,X,93,N.data,749,15
116,Y,10,N.data,33,6
117,1,633,10,2890,5
117,1,633,N.data,7639,22
117,10,230,10,1085,6
117,10,230,N.data,2156,16
117,11,227,10,1058,6
117,11,227,N.data,2047,17
117,12,288,10,1612,8
117,12,288,N.data,3255,22
117,13,157,10,798,5
117,13,157,N.data,1464,19
117,14,148,10,974,7
117,14,148,N.data,1609,20
117,15,134,10,649,5
117,15,134,N.data,1085,14
117,16,146,10,992,8
117,16,146,N.data,1429,17
117,17,246,10,995,5
117,17,246,N.data,2220,18
117,18,127,10,670,5
117,18,127,N.data,1365,21
117,19,90,10,354,6
117,19,90,N.data,628,12
117,2,408,10,2143,5
117,2,408,N.data,4900,23
117,20,137,10,740,5
117,20,137,N.data,1486,20
117,21,65,10,248,5
117,21,65,N.data,427,13
117,22,99,10,365,6
117,22,99,N.data,752,17
117,3,377,10,1637,6
117,3,377,N.data,3620,16
117,4,314,10,1877,6
117,4,314,N.data,4229,26
117,5,302,10,1549,6
117,5,302,N.data,3350,19
117,6,273,10,1337,5
117,6,273,N.data,2606,18
117,7,227,10,975,6
117,7,227,N.data,2133,19
117,8,299,10,1691,6
117,8,299,N.data,3770,26
117,9,190,10,1007,5
117,9,190,N.data,1794,17
117,X,225,10,1038,6
117,X,225,N.data,2287,23
117,Y,42,10,131,5
117,Y,42,N.data,268,13
118,1,382,10,1532,4
118,1,382,N.data,4176,21
118,10,140,10,544,8
118,10,140,N.data,1318,18
118,11,153,10,816,6
118,11,153,N.data,1600,22
118,12,202,10,956,5
118,12,202,N.data,2036,18
118,13,84,10,435,6
118,13,84,N.data,698,15
118,14,97,10,465,5
118,14,97,N.data,834,15
118,15,85,10,380,5
118,15,85,N.data,739,16
118,16,90,10,400,5
118,16,90,N.data,663,13
118,17,163,10,667,5
118,17,163,N.data,1234,13
118,18,84,10,390,4
118,18,84,N.data,781,19
118,19,55,10,326,8
118,19,55,N.data,439,14
118,2,233,10,756,7
